kdrama_name,tags
"['historical', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'life']",South Korea
"['food', 'romance', 'drama']",South Korea
"['romance', 'life', 'drama', 'fantasy']",South Korea
"['romance', 'youth']",South Korea
"['thriller', 'mystery', 'drama', 'fantasy']",South Korea
"['food', 'romance', 'drama', 'family']",South Korea
"['military', 'historical', 'life', 'drama', 'political']",South Korea
"['action', 'comedy', 'romance', 'crime']",South Korea
"['mystery', 'psychological', 'romance', 'medical']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['mystery', 'romance', 'supernatural']",South Korea
"['comedy', 'romance', 'fantasy', 'supernatural']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'family']",South Korea
"['horror', 'comedy', 'romance', 'fantasy']",South Korea
"['romance', 'drama', 'family']",South Korea
"['comedy', 'romance', 'life', 'youth']",South Korea
"['thriller', 'mystery', 'crime', 'drama']",South Korea
"['business', 'law', 'drama']",South Korea
"['romance', 'life', 'drama', 'melodrama']",South Korea
"['business', 'romance', 'drama', 'melodrama']",South Korea
"['romance', 'life', 'family', 'melodrama']",South Korea
"['romance', 'life', 'drama', 'medical']",South Korea
"['psychological', 'romance', 'youth', 'drama']",South Korea
"['thriller', 'mystery', 'psychological', 'drama']",South Korea
"['romance', 'drama', 'family']",South Korea
"['romance', 'melodrama']",South Korea
"['romance', 'drama', 'family']",South Korea
"['thriller', 'mystery', 'romance', 'fantasy']",South Korea
"['business', 'comedy', 'romance']",South Korea
"['comedy', 'romance', 'life', 'youth']",South Korea
"['comedy', 'romance', 'youth', 'drama']",South Korea
"['music', 'romance', 'fantasy', 'melodrama']",South Korea
"['mystery', 'comedy', 'romance', 'fantasy']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['comedy', 'romance', 'youth']",South Korea
['romance'],South Korea
"['action', 'thriller', 'mystery', 'supernatural']",South Korea
"['mystery', 'law', 'drama', 'fantasy']",South Korea
"['military', 'historical', 'drama', 'political']",South Korea
"['business', 'life', 'drama']",South Korea
"['action', 'romance', 'drama']",South Korea
"['action', 'historical', 'romance', 'fantasy']",South Korea
"['mystery', 'sci-fi', 'fantasy', 'melodrama']",South Korea
"['comedy', 'romance', 'political']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'political']",South Korea
"['romance', 'crime', 'drama', 'melodrama']",South Korea
['romance'],South Korea
"['action', 'thriller', 'horror', 'sci-fi']",South Korea
"['romance', 'youth']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['adventure', 'life', 'fantasy', 'melodrama']",South Korea
"['romance', 'drama']",South Korea
"['comedy', 'romance', 'youth', 'melodrama']",South Korea
"['historical', 'mystery']",South Korea
"['romance', 'medical', 'melodrama']",South Korea
"['romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'fantasy']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['comedy', 'drama', 'melodrama']",South Korea
"['thriller', 'drama']",South Korea
"['comedy', 'romance', 'melodrama', 'supernatural']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['historical', 'comedy', 'romance', 'supernatural']",South Korea
"['comedy', 'romance', 'sci-fi', 'fantasy']",South Korea
"['mystery', 'drama', 'political']",South Korea
"['historical', 'romance', 'fantasy', 'political']",South Korea
"['thriller', 'mystery', 'psychological', 'drama']",South Korea
"['comedy', 'romance', 'sci-fi']",South Korea
"['action', 'romance', 'drama', 'sports']",South Korea
"['law', 'drama', 'political']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['romance', 'life', 'youth']",South Korea
"['drama', 'melodrama']",South Korea
"['comedy', 'life', 'drama']",South Korea
"['thriller', 'mystery', 'crime', 'fantasy']",South Korea
"['mystery', 'business', 'law', 'romance']",South Korea
"['business', 'comedy', 'romance']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['action', 'business', 'comedy', 'romance']",South Korea
"['action', 'thriller', 'mystery', 'comedy']",South Korea
"['action', 'mystery', 'crime', 'political']",South Korea
"['action', 'thriller', 'psychological', 'crime']",South Korea
"['action', 'mystery', 'crime', 'political']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['adventure', 'romance', 'drama', 'sports']",South Korea
"['action', 'mystery', 'comedy', 'law']",South Korea
"['thriller', 'comedy', 'law', 'romance']",South Korea
['drama'],South Korea
"['historical', 'romance']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama']",South Korea
"['historical', 'romance', 'drama', 'sports']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['comedy', 'romance', 'life', 'melodrama']",South Korea
"['comedy', 'romance', 'drama', 'family']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'family']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['romance', 'life', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'life', 'melodrama']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['mystery', 'comedy']",South Korea
"['comedy', 'romance', 'life']",South Korea
"['business', 'drama', 'medical', 'political']",South Korea
"['mystery', 'comedy', 'romance', 'supernatural']",South Korea
"['comedy', 'romance', 'drama', 'family']",South Korea
"['food', 'business', 'comedy', 'romance']",South Korea
"['thriller', 'mystery', 'psychological', 'drama']",South Korea
"['thriller', 'romance', 'crime', 'drama']",South Korea
"['comedy', 'romance', 'youth', 'fantasy']",South Korea
"['action', 'crime', 'drama']",South Korea
"['thriller', 'mystery', 'romance', 'drama']",South Korea
"['thriller', 'business', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'law', 'drama']",South Korea
"['thriller', 'mystery', 'law', 'drama']",South Korea
"['comedy', 'romance']",South Korea
"['romance', 'sports']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['comedy', 'life', 'drama', 'melodrama']",South Korea
"['romance', 'youth', 'fantasy']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['thriller', 'mystery', 'supernatural']",South Korea
"['comedy', 'life', 'drama']",South Korea
"['action', 'adventure', 'drama', 'sci-fi']",South Korea
"['romance', 'drama', 'fantasy', 'melodrama']",South Korea
"['comedy', 'romance', 'drama', 'supernatural']",South Korea
"['comedy', 'romance', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['action', 'romance', 'medical', 'supernatural']",South Korea
"['historical', 'romance', 'drama', 'political']",South Korea
"['action', 'thriller', 'crime', 'drama']",South Korea
"['historical', 'drama', 'political']",South Korea
"['military', 'romance', 'drama']",South Korea
"['romance', 'drama', 'family']",South Korea
"['law', 'romance', 'drama', 'melodrama']",South Korea
"['thriller', 'romance', 'drama', 'fantasy']",South Korea
"['action', 'romance']",South Korea
"['comedy', 'romance', 'life', 'melodrama']",South Korea
"['mystery', 'romance', 'fantasy', 'melodrama']",South Korea
"['historical', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'youth', 'drama']",South Korea
"['romance', 'drama', 'medical']",South Korea
"['mystery', 'comedy']",South Korea
"['drama', 'family']",South Korea
"['drama', 'family']",South Korea
"['comedy', 'romance', 'melodrama']",South Korea
"['comedy', 'romance', 'drama', 'fantasy']",South Korea
"['action', 'historical', 'romance', 'political']",South Korea
"['mystery', 'comedy', 'romance', 'supernatural']",South Korea
"['romance', 'drama', 'family']",South Korea
"['comedy', 'romance', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'family', 'melodrama']",South Korea
"['horror', 'comedy', 'romance', 'supernatural']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['business', 'romance', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama', 'fantasy']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['music', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'family']",South Korea
"['romance', 'life', 'drama']",South Korea
"['comedy', 'law', 'romance', 'life']",South Korea
"['romance', 'drama', 'family']",South Korea
"['historical', 'comedy', 'romance', 'drama']",South Korea
"['thriller', 'mystery', 'comedy', 'romance']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['thriller', 'mystery', 'comedy', 'romance']",South Korea
"['mystery', 'comedy', 'romance', 'youth']",South Korea
"['mystery', 'comedy', 'romance', 'youth']",South Korea
['drama'],South Korea
"['psychological', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['mystery', 'romance', 'drama', 'melodrama']",South Korea
"['mystery', 'drama', 'supernatural']",South Korea
"['comedy', 'romance', 'supernatural', 'political']",South Korea
"['thriller', 'mystery', 'comedy', 'fantasy']",South Korea
"['law', 'drama', 'political']",South Korea
"['thriller', 'mystery', 'supernatural']",South Korea
"['thriller', 'mystery', 'psychological', 'drama']",South Korea
"['comedy', 'romance', 'life']",South Korea
"['thriller', 'mystery']",South Korea
"['thriller', 'mystery', 'comedy', 'melodrama']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['romance', 'life', 'medical', 'melodrama']",South Korea
"['romance', 'melodrama']",South Korea
"['romance', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['thriller', 'mystery', 'sci-fi']",South Korea
"['romance', 'life', 'youth', 'drama']",South Korea
"['action', 'thriller', 'crime']",South Korea
"['mystery', 'law', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'law', 'youth']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'crime', 'drama']",South Korea
"['comedy', 'romance', 'fantasy']",South Korea
"['food', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'fantasy']",South Korea
"['mystery', 'romance', 'drama', 'supernatural']",South Korea
"['thriller', 'horror', 'supernatural']",South Korea
"['thriller', 'mystery', 'romance', 'melodrama']",South Korea
"['comedy', 'romance', 'drama', 'supernatural']",South Korea
"['thriller', 'mystery', 'law', 'drama']",South Korea
"['mystery', 'youth']",South Korea
"['historical', 'drama']",South Korea
"['food', 'comedy', 'romance']",South Korea
"['comedy', 'romance']",South Korea
"['thriller', 'mystery', 'comedy', 'romance']",South Korea
"['military', 'comedy', 'romance', 'political']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['drama', 'medical']",South Korea
"['action', 'mystery', 'drama']",South Korea
"['thriller', 'mystery', 'medical']",South Korea
"['historical', 'romance', 'melodrama', 'political']",South Korea
"['business', 'comedy', 'romance']",South Korea
"['romance', 'life', 'drama', 'family']",South Korea
"['romance', 'drama', 'medical']",South Korea
"['action', 'military', 'drama']",South Korea
"['food', 'comedy', 'romance', 'supernatural']",South Korea
"['historical', 'war']",South Korea
"['historical', 'drama']",South Korea
"['drama', 'medical']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['historical', 'mystery', 'romance', 'martial arts']",South Korea
"['business', 'romance', 'drama', 'melodrama']",South Korea
['romance'],South Korea
"['action', 'thriller', 'horror', 'sci-fi']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['life', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['life', 'drama', 'melodrama']",South Korea
"['romance', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['historical', 'mystery', 'political']",South Korea
['romance'],South Korea
"['mystery', 'comedy', 'law', 'melodrama']",South Korea
"['food', 'comedy', 'romance']",South Korea
"['comedy', 'crime', 'drama']",South Korea
"['action', 'comedy', 'martial arts', 'sci-fi']",South Korea
"['mystery', 'comedy', 'romance', 'supernatural']",South Korea
"['action', 'comedy', 'romance', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama', 'political']",South Korea
"['comedy', 'romance', 'drama', 'fantasy']",South Korea
"['action', 'thriller', 'mystery', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['action', 'historical', 'romance', 'supernatural']",South Korea
"['mystery', 'law', 'life', 'drama']",South Korea
"['romance', 'life', 'drama']",South Korea
"['action', 'historical', 'romance', 'medical']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['thriller', 'mystery', 'law']",South Korea
"['music', 'comedy', 'romance', 'life']",South Korea
"['law', 'drama']",South Korea
"['comedy', 'law', 'romance']",South Korea
"['music', 'comedy', 'romance', 'melodrama']",South Korea
"['music', 'romance', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama', 'medical']",South Korea
"['mystery', 'romance', 'life', 'medical']",South Korea
"['mystery', 'romance', 'life', 'medical']",South Korea
"['thriller', 'law', 'drama', 'medical']",South Korea
"['thriller', 'law', 'crime', 'medical']",South Korea
"['comedy', 'romance', 'drama', 'medical']",South Korea
"['thriller', 'romance', 'drama', 'medical']",South Korea
"['action', 'crime', 'youth']",South Korea
"['romance', 'family']",South Korea
"['comedy', 'romance']",South Korea
"['romance', 'drama']",South Korea
"['thriller', 'romance', 'drama', 'melodrama']",South Korea
"['comedy', 'romance', 'drama', 'fantasy']",South Korea
"['comedy', 'romance', 'youth', 'drama']",South Korea
['drama'],South Korea
['youth'],South Korea
"['action', 'drama']",South Korea
['drama'],South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['romance', 'sports', 'melodrama']",South Korea
"['music', 'comedy', 'romance', 'youth']",South Korea
"['music', 'comedy', 'romance', 'youth']",South Korea
"['historical', 'drama']",South Korea
"['food', 'comedy', 'romance']",South Korea
"['thriller', 'mystery', 'sci-fi', 'medical']",South Korea
"['mystery', 'psychological', 'drama', 'medical']",South Korea
['romance'],South Korea
"['historical', 'romance', 'medical', 'fantasy']",South Korea
"['action', 'thriller', 'romance', 'medical']",South Korea
"['comedy', 'medical']",South Korea
"['romance', 'drama', 'medical']",South Korea
"['thriller', 'mystery', 'sci-fi']",South Korea
"['comedy', 'drama', 'family', 'melodrama']",South Korea
"['action', 'thriller', 'drama', 'sci-fi']",South Korea
"['food', 'comedy', 'romance', 'melodrama']",South Korea
"['historical', 'mystery', 'drama']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'medical']",South Korea
"['action', 'historical', 'drama', 'war']",South Korea
"['business', 'drama']",South Korea
"['historical', 'romance', 'melodrama', 'political']",South Korea
"['historical', 'romance', 'melodrama', 'political']",South Korea
"['historical', 'drama']",South Korea
"['romance', 'family', 'melodrama']",South Korea
['drama'],South Korea
"['action', 'romance', 'drama', 'melodrama']",South Korea
"['action', 'romance', 'drama', 'melodrama']",South Korea
"['romance', 'melodrama']",South Korea
"['romance', 'melodrama']",South Korea
"['romance', 'family', 'melodrama']",South Korea
"['music', 'business', 'comedy', 'drama']",South Korea
"['business', 'comedy', 'drama']",South Korea
"['action', 'tokusatsu', 'sci-fi', 'fantasy']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['comedy', 'romance', 'fantasy']",South Korea
['drama'],South Korea
"['music', 'comedy', 'romance']",South Korea
"['psychological', 'crime', 'youth', 'drama']",South Korea
"['law', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'youth', 'fantasy']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['action', 'historical', 'romance', 'drama']",South Korea
"['historical', 'romance', 'medical', 'supernatural']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'fantasy']",South Korea
"['drama', 'family']",South Korea
"['drama', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['action', 'thriller', 'comedy', 'drama']",South Korea
"['comedy', 'romance']",South Korea
"['comedy', 'romance', 'drama', 'medical']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['drama', 'family']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['comedy', 'romance', 'drama', 'fantasy']",South Korea
"['business', 'comedy', 'romance', 'sports']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
['romance'],South Korea
"['comedy', 'romance', 'fantasy']",South Korea
"['historical', 'romance', 'drama']",South Korea
"['romance', 'family']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['music', 'romance', 'melodrama']",South Korea
['drama'],South Korea
"['music', 'romance', 'youth']",South Korea
"['historical', 'comedy', 'romance', 'drama']",South Korea
"['mystery', 'comedy']",South Korea
"['thriller', 'romance', 'crime', 'melodrama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
['melodrama'],South Korea
"['historical', 'mystery', 'comedy', 'drama']",South Korea
"['historical', 'law', 'drama', 'melodrama']",South Korea
"['life', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['business', 'psychological', 'romance', 'medical']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
['historical'],South Korea
"['romance', 'drama']",South Korea
"['action', 'historical']",South Korea
"['comedy', 'romance']",South Korea
"['mystery', 'comedy', 'romance', 'fantasy']",South Korea
"['comedy', 'romance', 'drama', 'martial arts']",South Korea
"['comedy', 'romance', 'drama', 'martial arts']",South Korea
"['psychological', 'romance', 'youth', 'drama']",South Korea
"['business', 'comedy', 'romance', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['business', 'comedy', 'romance', 'life']",South Korea
"['mystery', 'drama']",South Korea
"['life', 'youth']",South Korea
"['comedy', 'medical', 'fantasy', 'supernatural']",South Korea
"['mystery', 'romance', 'youth', 'drama']",South Korea
"['romance', 'drama', 'melodrama', 'political']",South Korea
"['romance', 'drama']",South Korea
"['psychological', 'drama', 'melodrama']",South Korea
"['romance', 'melodrama']",South Korea
"['thriller', 'mystery', 'comedy', 'sci-fi']",South Korea
"['thriller', 'drama', 'melodrama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['comedy', 'romance', 'life', 'fantasy']",South Korea
"['military', 'adventure', 'historical', 'drama']",South Korea
"['historical', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['thriller', 'mystery', 'drama', 'supernatural']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['drama', 'melodrama']",South Korea
"['romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['thriller', 'romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['food', 'romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['comedy', 'romance', 'medical']",South Korea
"['action', 'mystery', 'comedy', 'crime']",South Korea
"['romance', 'life', 'drama', 'medical']",South Korea
"['mystery', 'comedy', 'romance', 'fantasy']",South Korea
"['romance', 'family']",South Korea
"['business', 'comedy', 'crime', 'drama']",South Korea
"['comedy', 'romance']",South Korea
"['thriller', 'psychological', 'drama', 'sci-fi']",South Korea
"['thriller', 'business', 'romance', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['romance', 'life']",South Korea
"['romance', 'life', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama', 'melodrama']",South Korea
"['mystery', 'life', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['historical', 'romance', 'drama', 'political']",South Korea
"['mystery', 'drama']",South Korea
"['thriller', 'mystery']",South Korea
"['action', 'thriller', 'mystery', 'sci-fi']",South Korea
"['action', 'historical', 'romance', 'fantasy']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'fantasy', 'melodrama']",South Korea
"['action', 'historical', 'romance', 'melodrama']",South Korea
"['historical', 'political']",South Korea
"['historical', 'romance', 'drama']",South Korea
"['action', 'thriller', 'historical', 'sci-fi']",South Korea
"['action', 'adventure', 'historical', 'political']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['drama', 'family']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'romance', 'supernatural']",South Korea
"['action', 'thriller', 'mystery', 'romance']",South Korea
"['comedy', 'romance', 'melodrama']",South Korea
"['action', 'life', 'drama', 'medical']",South Korea
"['psychological', 'comedy', 'romance']",South Korea
"['comedy', 'romance', 'fantasy']",South Korea
"['action', 'thriller', 'romance', 'crime']",South Korea
"['horror', 'comedy', 'romance', 'supernatural']",South Korea
"['music', 'romance', 'youth', 'drama']",South Korea
"['thriller', 'horror', 'psychological', 'drama']",South Korea
"['mystery', 'horror', 'drama', 'supernatural']",South Korea
"['comedy', 'supernatural', 'sitcom']",South Korea
"['thriller', 'mystery', 'psychological', 'drama']",South Korea
"['comedy', 'romance', 'life', 'fantasy']",South Korea
"['mystery', 'comedy', 'romance', 'life']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'family']",South Korea
"['romance', 'drama']",South Korea
"['action', 'fantasy', 'supernatural']",South Korea
"['drama', 'family', 'melodrama', 'supernatural']",South Korea
"['romance', 'youth', 'fantasy']",South Korea
"['mystery', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'sitcom']",South Korea
"['comedy', 'romance', 'drama', 'sitcom']",South Korea
"['comedy', 'romance', 'drama', 'sitcom']",South Korea
"['comedy', 'romance', 'sports']",South Korea
"['business', 'comedy', 'romance', 'melodrama']",South Korea
"['mystery', 'comedy', 'melodrama', 'political']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'youth', 'melodrama']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['thriller', 'historical', 'mystery', 'horror']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['action', 'historical', 'romance', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['romance', 'life', 'drama', 'medical']",South Korea
"['romance', 'drama', 'medical']",South Korea
"['drama', 'sports', 'melodrama']",South Korea
"['horror', 'comedy', 'romance', 'fantasy']",South Korea
"['business', 'romance', 'drama', 'melodrama']",South Korea
"['business', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['food', 'romance', 'drama', 'fantasy']",South Korea
